Classification report:               precision    recall  f1-score   support

        left       0.00      0.00      0.00       170
       right       0.00      0.00      0.00       180
       fists       0.00      0.00      0.00       210
        rest       1.00      0.01      0.02       830
        feet       0.13      1.00      0.23       210

    accuracy                           0.14      1600
   macro avg       0.23      0.20      0.05      1600
weighted avg       0.54      0.14      0.04      1600
Confusion matrix: [[  0   0   0   0 170]
 [  0   0   0   0 180]
 [  0   0   0   0 210]
 [  0   0   0  10 820]
 [  0   0   0   0 210]]
