Classification report:               precision    recall  f1-score   support

        left       0.00      0.00      0.00       170
       right       0.00      0.00      0.00       180
       fists       0.00      0.00      0.00       210
        rest       1.00      0.92      0.96       830
        feet       0.26      1.00      0.41       210

    accuracy                           0.61      1600
   macro avg       0.25      0.38      0.27      1600
weighted avg       0.55      0.61      0.55      1600
Confusion matrix: [[  0   0   0   0 170]
 [  0   0   0   0 180]
 [  0   0   0   0 210]
 [  0   0  30 760  40]
 [  0   0   0   0 210]]
