Classification report:               precision    recall  f1-score   support

        left       0.00      0.00      0.00       170
       right       0.00      0.00      0.00       180
       fists       0.00      0.00      0.00       210
        rest       0.54      0.98      0.70       830
        feet       0.30      0.14      0.19       210

    accuracy                           0.53      1600
   macro avg       0.17      0.22      0.18      1600
weighted avg       0.32      0.53      0.39      1600
Confusion matrix: [[  0   0   0 150  20]
 [  0   0   0 170  10]
 [  0   0   0 190  20]
 [  0   0   0 810  20]
 [  0   0   0 180  30]]
