Classification report:               precision    recall  f1-score   support

        left       0.00      0.00      0.00       170
       right       0.00      0.00      0.00       180
       fists       0.14      1.00      0.25       210
        rest       0.50      0.01      0.02       830
        feet       0.00      0.00      0.00       210

    accuracy                           0.14      1600
   macro avg       0.13      0.20      0.05      1600
weighted avg       0.28      0.14      0.04      1600
Confusion matrix: [[  0  20 150   0   0]
 [  0   0 180   0   0]
 [  0   0 210   0   0]
 [  0  20 790  10  10]
 [  0  50 150  10   0]]
