Classification report:               precision    recall  f1-score   support

        left       0.11      1.00      0.19       170
       right       0.00      0.00      0.00       180
       fists       0.00      0.00      0.00       210
        rest       0.00      0.00      0.00       830
        feet       0.00      0.00      0.00       210

    accuracy                           0.11      1600
   macro avg       0.02      0.20      0.04      1600
weighted avg       0.01      0.11      0.02      1600
Confusion matrix: [[170   0   0   0   0]
 [180   0   0   0   0]
 [210   0   0   0   0]
 [830   0   0   0   0]
 [210   0   0   0   0]]
